sysxmitbody,87,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.050,2017-08-22 19:38:04.057,1,0,0
sysfos,89,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:04.177,2017-08-22 19:38:04.187,1,0,0
sysqnames,90,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.593,2009-04-13 12:59:12.607,1,0,0
sysxmlcomponent,91,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.593,2009-04-13 12:59:12.617,1,0,0
sysxmlfacet,92,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.610,2009-04-13 12:59:12.620,1,0,0
sysxmlplacement,93,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.610,2009-04-13 12:59:12.870,1,0,0
sysobjkeycrypts,94,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:13.013,2009-04-13 12:59:13.023,1,0,0
sysasymkeys,95,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:13.030,2017-08-22 19:38:04.447,1,0,0
syssqlguides,96,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:13.047,2017-08-22 19:38:03.950,1,0,0
sysbinsubobjs,97,NULL,4,0,"S ",SYSTEM_TABLE,2009-04-13 12:59:12.483,2009-04-13 12:59:12.587,1,0,0
syssoftobjrefs,98,NULL,4,0,"S ",SYSTEM_TABLE,2017-08-22 19:38:03.900,2017-08-22 19:38:03.910,1,0,0
FK_DimProduct_DimProductSubcategory,2099048,NULL,1,1125579048,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.160,2017-10-27 14:36:33.160,0,0,0
FK_DimProductSubcategory_DimProductCategory,18099105,NULL,1,1157579162,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.167,2017-10-27 14:36:33.167,0,0,0
FK_DimReseller_DimGeography,34099162,NULL,1,1189579276,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.173,2017-10-27 14:36:33.173,0,0,0
FK_FactCallCenter_DimDate,50099219,NULL,1,1269579561,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.180,2017-10-27 14:36:33.180,0,0,0
FK_FactCurrencyRate_DimDate,66099276,NULL,1,1285579618,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.187,2017-10-27 14:36:33.187,0,0,0
FK_FactCurrencyRate_DimCurrency,82099333,NULL,1,1285579618,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.187,2017-10-27 14:36:33.187,0,0,0
FK_FactFinance_DimScenario,98099390,NULL,1,1301579675,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.203,2017-10-27 14:36:33.203,0,0,0
sqlagent_jobs,101575400,NULL,4,0,IT,INTERNAL_TABLE,2017-08-22 19:38:04.277,2017-08-22 19:38:04.287,1,0,0
FK_FactFinance_DimOrganization,114099447,NULL,1,1301579675,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.203,2017-10-27 14:36:33.203,0,0,0
sqlagent_jobsteps,117575457,NULL,4,0,IT,INTERNAL_TABLE,2017-08-22 19:38:04.283,2017-08-22 19:38:04.297,1,0,0
FK_FactFinance_DimDepartmentGroup,130099504,NULL,1,1301579675,"F ",FOREIGN_KEY_CONSTRAINT,2017-10-27 14:36:33.203,2017-10-27 14:36:33.203,0,0,0
